Files	SourceLab	Magnification	Stain	Species	Strain	DateAdded	FileSize_bytes_	md5
metestrus/061120 F1_2020_06_22_0140.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	4134117	62ED4C23302DCB3FD0E44687D0319ED3
metestrus/061220 F5_2020_06_22_0181.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:17	4050500	8BBE6FC917E30ED53146C983A1EFCA04
metestrus/061220 F7_2020_06_22_0188.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:16	4183446	812A4108F941082708C0A45064548069
metestrus/061320 F10_2020_06_23_0229.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:08	4149051	52426FC03987FAC75FA190DD2A9DB54C
metestrus/061320 F1_2020_06_23_0199.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:13	4009660	A55ACBE3F08AA537E5E4881085473CE8
metestrus/061320 F1_2020_06_23_0201.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:14	4419291	7DC435F75C4462E960841B18FBC17FA4
metestrus/061320 F2_2020_06_23_0202.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:13	4134813	C2857D79D2EA8AF775FDB22A987EDEB2
metestrus/061320 F2_2020_06_23_0203.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:13	4283601	27431AA9D8B52833D403CD7FFA816B48
metestrus/061320 F2_2020_06_23_0204.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:12	4216810	F095337858238D956013F200D16EB92E
metestrus/061320 F6_2020_06_23_0217.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:11	4331187	D60E25A4263EAC7DB9218114B0007C52
metestrus/061320 F8_2020_06_23_0221.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:08	3948173	1BB4F0C653B533148813AE788E15AACC
metestrus/061320 F8_2020_06_23_0222.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:10	4136325	83038593FC41D79AE20C6B402708337D
metestrus/061320 F8_2020_06_23_0223.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:10	4004501	6BC9FBB8F6BE8E404258828A882D98E1
metestrus/061420 F10_2020_06_23_0257.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:03	4159897	A18AEB00388C2052D9ED6F053725A281
metestrus/061420 F10_2020_06_23_0258.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:04	4125055	C215E595E8C00A589CB1644B9087F23D
metestrus/061420 F10_2020_06_23_0259.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:05	4188377	9C65A9039009E96870F5DF1735935CC8
metestrus/061420 F1_2020_06_23_0230.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:06	4006198	080920416A394B9478820DFE8B9C79F1
metestrus/061420 F1_2020_06_23_0232.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:07	4292012	717FBB4ACBF109874B554DB22C8E0075
metestrus/061420 F2_2020_06_23_0234.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:07	4321523	D531FE302DBE4E41102A11CE1233FD79
metestrus/061420 F2_2020_06_23_0235.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:09	4559910	92A2DB431B727B1E02C13B7D3F23D10B
metestrus/061420 F3_2020_06_23_0237.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:07	4126666	E5BC45FFF070F2F69D5EE817618411F6
metestrus/061420 F4_2020_06_23_0239.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:07	4242133	67E3F33E52D018CB6F9DB7EC482B53E8
metestrus/061420 F4_2020_06_23_0240.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:07	4240892	7FBBB67E267FCF43590612E351BCC90E
metestrus/061420 F4_2020_06_23_0241.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:07	4367641	A539ADF77D5235885DC65CFF1FB81ADC
metestrus/061420 F5_2020_06_23_0243.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:07	4167710	E9689A0636D5BDBE73D117FC24ADFF3A
metestrus/061420 F7_2020_06_23_0248.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:05	4114095	8CE187A65FB636E73D192723011DF74C
metestrus/061420 F8_2020_06_23_0253.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:05	4051180	3E078C06F691C7497D12CD497877903C
metestrus/061420 F9_2020_06_23_0254.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:04	4054912	C1A8BFBF6A9635E214ACBB2E46C9C16F
metestrus/061420 F9_2020_06_23_0255.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:04	4067542	936D9BBACF132B63311521970092A4FB
metestrus/061420 F9_2020_06_23_0256.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:04	4033461	D5BB2AC48B200A09727B5E5E7D5ECDAA
metestrus/061620 F10_2020_06_23_0319.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:53	4292159	15B36E51A8F46CB2157206BDE542AEF5
metestrus/061620 F5_2020_06_23_0303.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:54	4132920	60C0F2D41D9B272DE9A4472FF55D61AF
metestrus/061620 F5_2020_06_23_0304.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:55	4203113	D78771E01FB3A27E5BF06E6E582D45AD
metestrus/061820 F1_2020_06_23_0322.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:50	4432970	26E3965C93DCF8FE15B319AA77CB223D
metestrus/061820 F2_2020_06_23_0323.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:52	4402547	0198FA96B5BC23EA5EB286BB01904BD5
metestrus/061820 F2_2020_06_23_0325.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:52	4297229	4DD2358BE44CB85E2C177DE9139A3035
metestrus/061820 F7_2020_06_23_0340.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:48	4364512	95EB599B51354ACD3E384464878A2169
metestrus/061820 F7_2020_06_23_0341.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:49	4156489	1C7905AB3702E3E97CD47165CBE94989
