Files	SourceLab	Magnification	Stain	Species	Strain	DateAdded	FileSize_bytes_	md5
proestrus/061120 F10_2020_06_22_0165.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:18	3897824	1A05C75B42E147D9AE1CA692D15618FC
proestrus/061120 F10_2020_06_22_0166.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:18	3915626	5995B9A71ECE7CFE447D808C69A8DBAE
proestrus/061120 F10_2020_06_22_0167.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:18	3904573	01B6E8A2D87D1F3A9B562BFEFC9662E7
proestrus/061120 F1_2020_06_22_0138.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:22	4694961	1CE774779BCF8432E069D89E2F2BAB2E
proestrus/061120 F1_2020_06_22_0139.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	4625710	0243130120CAF25631EB740F011E0B00
proestrus/061120 F2_2020_06_22_0141.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	4231421	7A9950EC274D4B3A48986CCD95DAEAC3
proestrus/061120 F2_2020_06_22_0142.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	4123937	744518ACC6B498CB914304E37A6003EB
proestrus/061120 F2_2020_06_22_0143.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	3987842	0560941D474E59F7BFF37BD72D562044
proestrus/061120 F3_2020_06_22_0144.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	3873026	4C7872F7DE9B55BB39FC9429B098C4A3
proestrus/061120 F3_2020_06_22_0145.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	3874848	613821D7D20074483C7BC6E57498386A
proestrus/061120 F3_2020_06_22_0146.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	3931008	ADC0184097A1CD6317F582A6BD5E945E
proestrus/061120 F6_2020_06_22_0153.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:20	4073096	6F01629DE6F8058E0426763DD5CF8AA8
