Files	SourceLab	Magnification	Stain	Species	Strain	DateAdded	FileSize_bytes_	md5
diestrus/061220 F4_2020_06_22_0177.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:17	4514849	814A7FCF14048FC91A3130561A700C74
diestrus/061220 F4_2020_06_22_0178.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:16	4318542	C2F0DB3364C7C87308DCD7CDD9057F23
diestrus/061220 F4_2020_06_22_0179.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:16	4307898	4509FDA05931257060DC48015DF2DC1E
diestrus/061320 F10_2020_06_23_0227.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:09	4065350	EC2E82C1DBAC84109A35A54097925B0E
diestrus/061320 F10_2020_06_23_0228.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:09	4279946	1FE8ACA157C848A989EA73F94A411CD8
diestrus/061320 F5_2020_06_23_0212.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:12	4034028	2461A522F32DA9F5221B44C5CFEDB9A1
diestrus/061320 F5_2020_06_23_0213.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:11	3926238	F1F16EFAE5666016B1867FF96D97E0CD
diestrus/061320 F5_2020_06_23_0214.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:11	4000209	BECFF1969ABF72103E81960F3BFCCBB2
diestrus/061320 F7_2020_06_23_0219.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:10	3983897	CD4057BEFD54F84D5FD238644F336F8F
diestrus/061420 F3_2020_06_23_0236.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:08	4045358	8FF4EB0CF5D458541738BBA77F97F4E1
diestrus/061420 F7_2020_06_23_0249.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:06	4234800	9FA67C772792798F549635974CA1E312
diestrus/061420 F8_2020_06_23_0251.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:06	4057348	85BFCEF3A330C2D2E15B93FFCB9F9F23
diestrus/061520 F9_2020_06_23_0284.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:00	4132094	20BC02CC887D9B2B47450D218A3B7654
diestrus/061520 F9_2020_06_23_0285.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:59	4125124	139541D8D540A50D24C8693A2FEEF0DC
diestrus/061520 F9_2020_06_23_0286.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:58	4159719	889516E14CA9FC16ED2049B0F65A8BFC
diestrus/061820 F10_2020_06_23_0348.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:46	5661376	B054A97ECB0F26A159C5D8E0D3CDB38B
diestrus/061820 F10_2020_06_23_0349.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:44	5300618	93039D0C71261803FCC1B6351C808903
diestrus/061820 F10_2020_06_23_0350.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:46	4993988	A7778C1DF0EAED2833050017C2BCB89C
diestrus/061920 F1_2020_06_23_0353.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:44	4493041	614EA0531C9CEB3E2C801AF4AFB35C4A
diestrus/062020 F1_2020_06_23_0382.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:39	4802947	6F443438CBE1E4F847FBDF9987189C0A
diestrus/062120 F10_2020_06_23_0440.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:30	4496026	ED2951656B2E1656A06D7CD1393BF584
diestrus/062120 F10_2020_06_23_0441.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:28	4998678	338FACB8D124D121ED2B11DFC1383430
diestrus/062120 F10_2020_06_23_0442.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:29	5321586	FACED49849461071F9A0BD22C4E2A270
diestrus/062120 F4_2020_06_23_0424.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:33	4459518	D5B289A46B1767A5E5FB1D8782110C88
diestrus/062120 F5_2020_06_23_0425.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:32	4175211	03A570B20CB81165090AE5946D91CE1E
diestrus/062220 F2_2020_06_23_0446.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:29	4072072	4ADCA1036A2A9A88E2424D1551A16B23
diestrus/062220 F2_2020_06_23_0447.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:28	4251650	1ACFDAF8405600CF1D5BFF963271AD79
diestrus/062220 F2_2020_06_23_0448.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:28	4142267	2EC1EA8FC2074B9BB31E929B60E502F4
diestrus/062220 F4_2020_06_23_0452.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:27	4262449	BA3F62E555382A0B90F2663BDD881DE0
diestrus/062220 F4_2020_06_23_0453.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:28	4380921	B4E24979DFE793B7F12A204C721BCB69
diestrus/062220 F4_2020_06_23_0454.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:27	4394895	84F329947C1A3919F1131419597870AA
diestrus/062220 F5_2020_06_23_0455.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:27	3935524	98B57DA07B3D230B795CC1E24C93F31D
diestrus/062220 F5_2020_06_23_0456.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:41:26	3998170	F8BE5DA6BB78643FFA16475D9163CC70
