Files	SourceLab	Magnification	Stain	Species	Strain	DateAdded	FileSize_bytes_	md5
estrus/061120 F4_2020_06_22_0147.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	5048238	A8094D76DAB6AAB13586953E888F6583
estrus/061120 F4_2020_06_22_0148.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	5255193	303A6868FB286C4FF13853FEE399DAF4
estrus/061120 F4_2020_06_22_0149.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:22	5676966	CBEF6479C062A73237957FB7C09F4BB9
estrus/061120 F5_2020_06_22_0150.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	4331986	DD4E2212FE0AAF4102E3EF20955C0F2B
estrus/061120 F5_2020_06_22_0151.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	4293438	DEF31FD4D7ADB0FAB9D7E20D74F440F8
estrus/061120 F5_2020_06_22_0152.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:21	4079128	6208826B390B045F8FAFF5C95AF2AB6B
estrus/061120 F7_2020_06_22_0156.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:20	4738099	8E381D8FDF4355A6DB6EBF9B0C1BA929
estrus/061120 F7_2020_06_22_0157.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:20	4599937	8EB9A5CA79F524CEF309C08EDCAAB7CE
estrus/061120 F7_2020_06_22_0158.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:20	4911082	B031440BDB3C6F0F15E050C756EB96C9
estrus/061120 F8_2020_06_22_0159.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:20	4820863	56C667561CF09BBE2DC87750729BF233
estrus/061120 F8_2020_06_22_0160.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:20	5796910	8E3F10E7E4639F5D4BF50AB3B608E4ED
estrus/061120 F8_2020_06_22_0161.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:20	5094743	51AD27B43EF2FF37A5696BCA5B1E74C0
estrus/061220 F10_2020_06_22_0196.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:13	4302352	95B43BD2CC719B458587140F994CB27F
estrus/061220 F10_2020_06_22_0197.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:14	5825229	2F600BF1D8B9A53C1497A3D38B7517F4
estrus/061220 F10_2020_06_22_0198.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:13	4833308	685DA16156A7C384E925F798B2F590F8
estrus/061220 F1_2020_06_22_0168.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:19	5240019	2981583B54AC9E498C70D594D366985F
estrus/061220 F1_2020_06_22_0169.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:19	5038341	22AE12A6931A31905A871B9A419E66A1
estrus/061220 F1_2020_06_22_0170.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:18	4581552	CFA8A3D86E5F7AEECB7F65999848960D
estrus/061220 F2_2020_06_22_0171.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:18	4692870	DAF77E2733720BAF2DA85C95514D229F
estrus/061220 F2_2020_06_22_0172.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:17	4656815	873940A44B32DF9881215864C5B4D55D
estrus/061220 F2_2020_06_22_0173.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:17	5225030	E671E55761936C322C10780DC79162ED
estrus/061220 F3_2020_06_22_0174.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:17	4640566	D4AB1ABCBD121F6CC85B1A507F028491
estrus/061220 F3_2020_06_22_0175.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:17	5087080	C5764CBC62ACDE145D77BF85F52E6AB7
estrus/061220 F3_2020_06_22_0176.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:18	4666936	44D0F7B7E16E7A1B0988338346102042
estrus/061220 F5_2020_06_22_0180.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:16	3943722	2D410772371C52F5C277AEDD53BC1279
estrus/061220 F6_2020_06_22_0183.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:17	4588896	3F1D77F4976EB05F28F5DEAB60450256
estrus/061220 F6_2020_06_22_0184.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:17	4470776	C9E34F5C2D10892FC11911D5CCD81724
estrus/061220 F6_2020_06_22_0185.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:15	4482273	D6FCD1D7905343CD67513797ED390472
estrus/061220 F7_2020_06_22_0186.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:16	4059717	4862EF0E5EEA3490CD5CA03842183E22
estrus/061220 F8_2020_06_22_0190.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:14	4418423	E5D7DD08688068C1951D476CB070EC7F
estrus/061220 F9_2020_06_22_0192.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:15	4125703	AA1F8BC6DE90F97A7769D788A858F155
estrus/061220 F9_2020_06_22_0193.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:15	4429863	C55BD8F5818373344C5106778567FCCE
estrus/061220 F9_2020_06_22_0194.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:14	4431122	4A73BADD1B8F68BE423AB2A40483F29F
estrus/061220 F9_2020_06_22_0195.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:15	4355104	0B94EDB91BE44A8FF6692D1775EAF936
estrus/061320 F3_2020_06_23_0205.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:12	4056718	3A504A3199C7A6D627130ADE0AAD827B
estrus/061320 F3_2020_06_23_0206.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:13	3930973	400B4FDC92547C9592CC9A4680C755CC
estrus/061320 F3_2020_06_23_0207.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:12	4202685	9EDA566768B3CB71C7A521E7FB69C87B
estrus/061320 F6_2020_06_23_0215.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:11	4200571	AFEB55755760D958A152CC444DB64C37
estrus/061320 F6_2020_06_23_0216.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:11	4185060	AC975D4034E5856A8D97B3D07486EB68
estrus/061520 F1_2020_06_23_0260.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:04	4167821	0EBCD37826156B8E9E0DD9268DF1BF93
estrus/061520 F3_2020_06_23_0268.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:05	4058746	15F33A5489E28EDCEE7E14D6E298C3CB
estrus/061520 F4_2020_06_23_0269.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:03	4585860	D54787C80A21E934B162D692FB836FA1
estrus/061520 F4_2020_06_23_0270.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:04	5501314	0B9C15BFE4E0DD830E63C21DBE3B5288
estrus/061520 F4_2020_06_23_0271.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:02	6747974	40962B6DC0DB0391D9224DA53BF3AB79
estrus/061520 F5_2020_06_23_0272.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:02	5119657	7CCFBAB4F1201C605E404DC92D249C35
estrus/061520 F5_2020_06_23_0273.JPG	Ostroff	10X	Shorr Stain	Rat	Sprague Dawley WT	12-Apr-2022 13:42:01	4792826	BC85FE02CB3EE7B836BBC0B94A41A908
